path	disposition	provider	rationale	inventory_origins
$(InputPath)	excluded	none	manifest input is absent from the repository or outside its source boundary	ZH_LEGACY_UNAVAILABLE_SOURCE_RECORDS
GeneralsMD/Code/GameEngine/Include/Common/AcademyStats.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/ActionManager.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/ArchiveFile.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/ArchiveFileSystem.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/AsciiString.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/AudioAffect.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/AudioEventInfo.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/AudioEventRTS.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/AudioHandleSpecialValues.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/AudioRandomValue.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/AudioRequest.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/AudioSettings.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/BattleHonors.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/BezFwdIterator.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/BezierSegment.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/BitFlags.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/BitFlagsIO.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/BuildAssistant.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/CDManager.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/CRCDebug.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/ClientUpdateModule.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/CommandLine.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/CopyProtection.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/CriticalSection.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/CustomMatchPreferences.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/DamageFX.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/DataChunk.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/Debug.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/Dict.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/Directory.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
