rule_id	pattern	category	disposition	target	rationale
format	^D3D(?:FMT(?:_.*)?|FORMAT)$|^D3DFormat.*$	formats	cpu-fallback	TextureFormat and decode_bc_to_rgba8	Map supported color/depth/BC formats to engine descriptors; decode unsupported BC1/2/3 uploads to RGBA8 while retaining DXT2/4 premultiplied-alpha semantics.
primitive-layout	^D3D(?:PT(?:_.*)?|PRIMITIVETYPE|FVF.*|VBF.*|VSD.*|DP_MAXTEXCOORD)$	primitives-fvf	compatibility-adapter	PrimitiveTopology and VertexLayout	Convert used triangle and point primitives plus fixed-function vertex declarations to immutable engine vertex layouts; point lists require explicit shader point size.
render-state	^D3D(?:RS_(?!PATCHEDGESTYLE$|PATCHSEGMENTS$).*|RENDERSTATETYPE|BLEND.*|CMP.*|CULL.*|FILL.*|FOG.*|STENCILOP.*|COLORWRITEENABLE.*|MCS_.*|SHADE.*|ZB_.*|WRAP.*|MULTISAMPLE.*|CLIPPLANE0)$	fixed-function-state	repository-shader	PipelineKey and shader features	Normalize blend color mask depth stencil culling fill fog alpha test clipping and material-source state into immutable keys or named shader features.
curved-patches	^D3D(?:PATCHEDGE_.*|ORDER_.*|RS_PATCHEDGESTYLE|RS_PATCHSEGMENTS)$	curved-patch-state	explicit-unsupported	actionable renderer rejection	The source capability path for curved high-order patches is not part of the triangle and point renderer contract; requesting it fails by name instead of silently degrading or opening a private backend escape.
texture-state	^D3D(?:TSS_.*|TEXTURESTAGESTATETYPE|TOP_.*|TEXTUREOP|TA_.*|TADDRESS_.*|TEXF_.*|TEXOPCAPS_.*|TTFF_.*|TS_.*|TRANSFORMSTATETYPE|PTEXTURECAPS_.*|PTFILTERCAPS_.*)$	texture-stage-state	repository-shader	SamplerDesc and material shader features	Translate addressing filtering combine operations coordinate generation projected textures and bump-environment state into samplers and named shader variants.
resource	^IDirect3D(?:BaseTexture|CubeTexture|IndexBuffer|Surface|Texture|VertexBuffer|Volume|VolumeTexture)8$|^D3D(?:LOCK(?:_.*)?|LOCKED_.*|POOL(?:_.*)?|USAGE_.*|SURFACE.*|VOLUME.*|Texture.*|Surface.*)$	resources	public-api	opaque resource handles and descriptors	Replace COM resources locks pools and usage flags with opaque handles validated uploads transfer buffers and explicit 2D/cube/3D texture descriptors.
render-target	^D3D(?:BACKBUFFER_.*|CLEAR_.*|VIEWPORT8|RTYPE_.*|Render.*)$	render-targets	public-api	RenderPassDesc and TextureDesc	Represent color/depth targets sampling only after pass completion viewport clear and resize recreation through engine-owned pass descriptors.
shader-assembly	^D3DX(?:ASM.*|AssembleShader.*)$	shader-assembly	repository-shader	offline GLSL registry	Replace D3DX/NVASM runtime assembly with checked repository GLSL compiled to SPIR-V by glslc.
d3dx-math	^D3DX(?:MATRIX|Math|Matrix.*|VECTOR[34]|Vec[34].*|8Math|_DEFAULT|_FILTER_.*|_PI|)$	math	compatibility-adapter	engine math types	Replace D3DX math structures constants and helpers with engine-owned matrices/vectors and explicit filter policies while preserving coordinate and depth conventions.
d3dx-loader	^D3DX(?:Create.*|FilterTexture|GetErrorStringA|GetFVFVertexSize|LoadSurface.*)$	image-and-font-helpers	cpu-fallback	engine loaders FreeType and format conversion	Replace D3DX texture surface and font helpers with engine loaders CPU conversion and FreeType; no runtime image framework is introduced.
device-lifecycle	^(?:IDirect3D8|IDirect3DDevice8|IDirect3DSwapChain8|Direct3D.*|D3D8(?:Lib)?|D3DInterface|D3DDevice.*|D3DDEVICE.*|D3DADAPTER.*|D3DDEVTYPE.*|D3DCREATE.*|D3DPRESENT.*|D3DSWAPEFFECT.*|D3DDISPLAYMODE|D3DGAMMARAMP|D3DCURSOR.*|D3DDMT.*|D3DENUM.*|D3DERR.*|D3D_OK|D3D_SDK_VERSION|D3DCAPS.*|D3DDEVCAPS.*|D3DPMISCCAPS.*|D3DPRASTERCAPS.*)$	device-and-lifecycle	public-api	GpuDevice and resize state	Replace creation capabilities presentation swap-chain lost-device and direct-device calls with the shared engine device interface; SDL_GPU is provisional and real device validation is M14.
lighting-material	^D3D(?:LIGHT.*|MATERIAL8|MATRIX|VECTOR|COLOR(?:VALUE|_.*)?|CUBEMAP_.*|SGR_.*)$	lighting-and-materials	repository-shader	uniform blocks and material features	Pack legacy light material matrix color and cube-face state into bounded per-frame per-material and per-object blocks consumed by named shaders.
legacy-wrapper	^D3D(?:2_BASE_VEC|Desc|Failure.*|Sound.*|Update.*|)$	legacy-wrapper	compatibility-adapter	DX8Wrapper migration seam	Retain source-local wrapper/error/audio-adjacent names only as migration inputs; they do not enter the public renderer contract.
